Nro.,Cargo,Sexo,Edad,Facultad,Mejores características,Importancia,Beneficios,EUCALIPTO,SAUCE COMÚN ,TUYA,PALMA DATILERA,GUARARO,LUMA,MORERA,CEIBO,CEDRO ,AGUACATE ,ARABISCO ,GUABA,NÍSPERO ,PALMA ORNAMENTAL ,GUAYACÁN ,HIBISCUS ,SICOMORO,ARAUCARIA,HIGUERA,TILO,GUATO,POMARROSA,ARRAYÁN,PUMAMAQUI ,CEDRO COLORADO , CALISTEMO O CEPILLO ROJO,SWARTZIA,ROMERILLO,DURAZNO,ACACIA BLANCA, TECOMA,MAGNOLIA,SAUCE PIRAMIDAL,GUALLAG O GUAYALO,FRESNO,PINO,COCO NEGRO, SANGUILAMO,LEUCAENA,SECOYA,CIPRÉ,ARUPO ,CAPULÍ ,NOGAL,FICUS RETUSA,NANUME,CIPRÉ,CASUARINA,ALISO,CIPRÉ,PROSOPIS,FAIQUE,PALMA FÉNIX,SOLANUM,CHIRIMOYA,TORONCHE
1,Docente,Hombre,32,"Facultad de la Educación, el Arte y la Comunicación",Tronco,5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Reducen la erosión",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,Estudiante,Hombre,18,Educación a Distancia,"Forma de la copa, Hojas, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,Estudiante,Hombre,21,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Hojas, Flores",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,Estudiante,Mujer,23,"Facultad Jurídica, Social y Administrativa","Forma de la copa, Hojas, Frutos",5,"Proporcionan paz y tranquilidad, Dan sombra y regulan la temperatura, Producen oxígeno",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,Estudiante,Mujer,21,"Facultad de la Educación, el Arte y la Comunicación",Flores,5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Producen oxígeno",5,4,4,3,4,4,4,4,4,5,4,5,4,4,5,5,4,5,4,4,4,5,4,4,4,4,4,3,5,4,4,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,3
6,Estudiante,Mujer,18,Educación a Distancia,"Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Proporcionan paz y tranquilidad, Producen oxígeno",5,5,5,4,4,5,4,4,5,5,5,4,5,5,4,5,5,5,3,5,3,3,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,5,4,5,5,4,5,3
7,Estudiante,Mujer,22,"Facultad Jurídica, Social y Administrativa","Hojas, Flores, Frutos",5,"Embellecen el lugar, Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado",4,4,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,4,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,4,4,5,5,5,4,5,5
8,Estudiante,Mujer,24,Facultad Agropecuaria y de Recursos Naturales Renovables,"Hojas, Flores",5,"Embellecen el lugar, Almacenan carbono, Producen oxígeno",3,3,3,4,5,5,5,5,3,4,5,5,5,4,5,5,5,4,4,4,4,5,5,4,3,5,2,4,5,3,5,4,3,5,5,2,4,3,3,3,3,5,5,3,3,3,3,3,4,3,3,3,4,3,5,5
9,Estudiante,Mujer,30,Facultad Agropecuaria y de Recursos Naturales Renovables,"Forma de la copa, Flores, Tronco",5,"Dan sombra y regulan la temperatura, Colectan las partículas del aire contaminado, Refugio de vida silvestre",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,Docente,Mujer,50,"Facultad de la Educación, el Arte y la Comunicación","Forma de la copa, Flores, Tronco",5,"Embellecen el lugar, Colectan las partículas del aire contaminado, Producen oxígeno",5,5,5,5,3,5,2,5,5,5,5,2,3,5,5,5,2,5,3,3,3,3,3,4,5,5,3,5,3,3,5,5,3,5,4,5,4,3,3,5,5,5,3,4,3,3,4,5,5,5,5,5,5,5,3,5
